id,parent_id/id,tax_ids/id,code,name,type,user_type/id,reconcile,note
pcg_6037,pcg_603,tva_acq_normale,6037,Variation des stocks de marchandises,Regular,account.data_account_type_expense,False,
pcg_604,pcg_60,tva_acq_normale,604,Achats d'études et prestations de services,Regular,account.data_account_type_expense,False,
pcg_605,pcg_60,tva_acq_normale,605,Achats de matériel équipements et travaux,Regular,account.data_account_type_expense,False,
pcg_606,pcg_60,tva_acq_normale,606,Achats non stockés de matières et fournitures,View,account.data_account_type_view,False,Pour l'usage interne à l'entreprise
pcg_6061,pcg_606,tva_acq_normale,6061,"Fournitures non stockables (eau, énergie...) ",Regular,account.data_account_type_expense,False,
pcg_6063,pcg_606,tva_acq_normale,6063,Fournitures d'entretien et de petit équipement,Regular,account.data_account_type_expense,False,
pcg_6064,pcg_606,tva_acq_normale,6064,Fournitures administratives,Regular,account.data_account_type_expense,False,
pcg_6068,pcg_606,tva_acq_normale,6068,Autres matières et fournitures,Regular,account.data_account_type_expense,False,
fr_pcg_expense,pcg_60,tva_acq_normale,607,Achats de marchandises,View,account.data_account_type_view,False,Biens revendus tels quels (707)
pcg_6071,fr_pcg_expense,tva_acq_normale,6071,Marchandise (ou groupe) A,Regular,account.data_account_type_expense,False,Pour achats France
pcg_6072,fr_pcg_expense,tva_acq_normale,6072,Marchandise (ou groupe) B,Regular,account.data_account_type_expense,False,Pour déclaration TVA intracommunautaire
pcg_608,pcg_60,tva_acq_normale,608,Frais accessoires incorporés aux achats,Regular,account.data_account_type_expense,False,
pcg_609,pcg_60,tva_acq_normale,609,"Rabais, remises et ristournes obtenus sur achats",View,account.data_account_type_view,False,
pcg_6091,pcg_609,tva_acq_normale,6091,- de matières premières (et fournitures),Regular,account.data_account_type_expense,False,
pcg_6092,pcg_609,tva_acq_normale,6092,- d'autres approvisionnements stockés,Regular,account.data_account_type_expense,False,
pcg_6094,pcg_609,tva_acq_normale,6094,- d'études et prestations de services,Regular,account.data_account_type_expense,False,
pcg_6095,pcg_609,tva_acq_normale,6095,"- de matériel, équipements et travaux",Regular,account.data_account_type_expense,False,
pcg_6096,pcg_609,tva_acq_normale,6096,- d'approvisionnements non stockés,Regular,account.data_account_type_expense,False,
pcg_6097,pcg_609,tva_acq_normale,6097,- de marchandises,Regular,account.data_account_type_expense,False,
pcg_6098,pcg_609,tva_acq_normale,6098,"Rabais, remises et ristournes non affectés",Regular,account.data_account_type_expense,False,
pcg_61,pcg_Classe_6,tva_acq_normale,61,Services extérieurs,View,account.data_account_type_view,False,
pcg_611,pcg_61,tva_acq_normale,611,Sous-traitance générale,Regular,account.data_account_type_expense,False,
pcg_612,pcg_61,tva_acq_normale,612,Redevances de crédit-bail,View,account.data_account_type_view,False,
pcg_6122,pcg_612,tva_acq_normale,6122,Crédit-bail mobilier,Regular,account.data_account_type_expense,False,
pcg_6125,pcg_612,tva_acq_normale,6125,Crédit-bail immobilier,Regular,account.data_account_type_expense,False,
pcg_613,pcg_61,tva_acq_normale,613,Locations,View,account.data_account_type_view,False,
pcg_6132,pcg_613,tva_acq_normale,6132,Locations immobilières,Regular,account.data_account_type_expense,False,
pcg_6135,pcg_613,tva_acq_normale,6135,Locations mobilières,Regular,account.data_account_type_expense,False,
pcg_6136,pcg_613,tva_acq_normale,6136,Malis sur emballages,Regular,account.data_account_type_expense,False,
pcg_614,pcg_61,tva_acq_normale,614,Charges locatives et de copropriété,Regular,account.data_account_type_expense,False,
pcg_615,pcg_61,tva_acq_normale,615,Entretien et réparations,View,account.data_account_type_view,False,
pcg_6152,pcg_615,tva_acq_normale,6152,- sur biens immobiliers,Regular,account.data_account_type_expense,False,
pcg_6155,pcg_615,tva_acq_normale,6155,- sur biens mobiliers,Regular,account.data_account_type_expense,False,
pcg_6156,pcg_615,tva_acq_normale,6156,Maintenance,Regular,account.data_account_type_expense,False,
pcg_616,pcg_61,,616,Primes d'assurance,View,account.data_account_type_view,False,
pcg_6161,pcg_616,,6161,Multirisques,Regular,account.data_account_type_expense,False,
pcg_6162,pcg_616,,6162,Assurance obligatoire dommage construction ,Regular,account.data_account_type_expense,False,
pcg_6163,pcg_616,,6163,Assurance transport,View,account.data_account_type_view,False,
pcg_61636,pcg_6163,,61636,Assurance transport sur achats,Regular,account.data_account_type_expense,False,
pcg_61637,pcg_6163,,61637,Assurance transportsur ventes,Regular,account.data_account_type_expense,False,
pcg_61638,pcg_6163,,61638,Assurance transport sur autres biens,Regular,account.data_account_type_expense,False,
